Individual,Group,Coat State W4,Coat State W8,OF Center Time,FST Immobility Time,Olig2 Total No. Cells,Olig2 Dorsal No. Cells,Olig2 Ventral No. Cells,Olig2 Cx,CNPase Total OD,CNPase Dorsal OD,CNPase Ventral OD,CNPase Cx,PLP Total OD,PLP Dorsal OD,PLP Ventral OD,PLP Cx,KI67 Total No. Cells,KI67 Dorsal No. Cells,KI67 Ventral No. Cells,CldU Total No. Cells,CldU Dorsal No. Cells,CldU Ventral No. Cells,PmDCX Total No. Cells
Ctrl_1,Ctrl,0.1,0.25,0,19.5,35.4666667,21.8,13.6666667,4.64444444,638.202608,288.948967,349.253641,6853.73392,1118.68676,621.865896,496.82086,7131.3653,6.5,7,2.25,2.25,1.75,0.5,32.5
Ctrl_2,Ctrl,0.1,0.2,3,17,36.125,20.5,15.625,5.4,702.19204,403.0237,299.16834,6700.412,1364.0761,898.277333,465.798769,7754.9725,4.2,7,3.4,2.25,1.25,1,25.2083333
Ctrl_3,Ctrl,0.25,0.2,5,64.8,31.3333333,20,11.3333333,5.15,668.284606,350.247267,318.037339,6830.2539,1527.6506,861.783979,665.866618,9025.38662,8.3,4,6.3,1.75,1,0.75,46
Ctrl_4,Ctrl,0.1,0.2,2,15.3,NA,NA,NA,NA,799.076627,357.043089,442.033538,6554.3483,882.40207,213.795875,668.606195,6357.31295,9.6,7,4.4,1.75,1,0.75,46.5
Ctrl_5,Ctrl,0,0.25,7,89.8,NA,NA,NA,NA,788.606905,359.683167,428.923738,7222.1268,1035.269,497.28225,537.986746,8196.94315,6.3,11,3.6,1.5,0.5,1,22
Sham_1,Sham,0.8,0.7,11.4,34.2,32.1428571,14.1428571,18,4.09583333,986.248525,485.14361,501.104915,7255.51538,1271.14383,604.52525,666.618583,10454.7471,0.25,0,0.5,1.5,1.25,0.25,29.1666667
Sham_2,Sham,0.85,0.8,0.6,125.5,30.9428571,20.1428571,10.8,2.175,949.287881,480.783429,468.504452,7369.51084,1278.73471,774.847778,503.886932,8912.67142,9.4,9,1,1.25,0.75,0.5,32.5
Sham_3,Sham,0.7,0.75,15.8,86,21.6,11.8,9.8,2.675,1062.07863,542.594223,519.484404,7509.76226,1158.35934,624.034833,534.324508,9918.976,9.5,8.25,2.5,1.75,1.25,0.5,21.1666667
Sham_4,Sham,0.6,0.7,6.1,166.7,NA,NA,NA,NA,942.589827,456.166648,486.423179,8799.33134,1134.79965,567.772194,567.027458,9721.8774,7.5,4.7,4,2.5,1.75,0.75,22.7
Sham_5,Sham,0.6,0.75,8,78.1,NA,NA,NA,NA,939.980824,453.688355,486.292468,8002.25196,1240.21811,741.3015,498.916611,8996.84545,6.3,3.6,4.5,2.25,1.25,1,16.9166667
Sham_6,Sham,0.7,0.7,12.9,87.1,NA,NA,NA,NA,NA,NA,NA,NA,1118.57868,586.847083,531.731597,9842.86937,7.5,5.5,4,1.83,0.67,1.17,17.2
rTMS_1,rTMS,0.8,0.6,0.7,83.5,48.3333333,30.3333333,18,7.8037037,1028.93345,531.923324,497.010122,7332.09998,1308.30463,708.49625,599.808375,9938.262,12.8,12.5,4.5,5.75,3,2.75,36.6666667
rTMS_2,rTMS,0.8,0.55,2.9,26.2,34,22,12,6.8375,1094.26496,559.97752,534.287444,8767.84529,1472.64402,750.951814,721.692205,10539.6989,10.25,7,4.3,3.75,1.75,2,35
rTMS_3,rTMS,0.8,0.55,11.3,50.5,41.45,24.25,17.2,6.50648148,839.738656,319.088756,520.6499,10974.0625,1321.44463,727.721958,593.722667,9590.94278,9,6.6,3.5,3,1.75,1.25,42.3333333
rTMS_4,rTMS,0.7,0.55,8.4,33.2,NA,NA,NA,NA,833.753293,416.681067,417.072226,7751.50946,1280.32267,723.715125,556.607542,12308.6267,10.5,10.5,5.25,5.14,3.5,2.14,37.75
rTMS_5,rTMS,0.8,0.55,6.9,38.9,NA,NA,NA,NA,895.666695,424.570163,471.096532,8713.151,1187.33417,587.479042,599.855125,9990.79339,10.4,8.6,3,4.75,2.75,2,34.9166667
rTMS_6,rTMS,0.8,0.6,4.1,49.2,NA,NA,NA,NA,NA,NA,NA,NA,1781.78908,916.53425,865.254833,11488.9288,6,3.5,2.5,3.375,2.625,1.5,34.5
Flx_1,Flx,0.8,0.5,10.7,24,29.2,17,12.2,2.49259259,992.86095,505.57748,487.28347,7111.45819,1226.92683,546.84675,680.080083,10970.347,11.5,8.5,4.5,3,1.25,1.75,53
